arrival_count,class,arrival,s_departure,s_arr_nis,s_sojourn,s_arr_nis_class_0,s_arr_nis_class_1,s_arr_nis_class_2,s_last_remaining_los,s_last_rem_class_0,s_last_rem_class_1,s_last_rem_class_2
135,2,749.0000999999997,958.920134990874,55,209.92003499087423,15,31,9,37.97745305559019,254.88181940809216,37.97745305559022,212.9539546189883
136,0,754.0000999999997,1756.8660757123573,53,1002.8659757123576,15,31,7,204.92003499087429,249.88181940809216,32.97745305559022,204.92003499087423
137,0,756.0000999999997,1098.1860604893536,54,342.1859604893539,16,31,7,1000.8659757123576,1000.8659757123576,30.977453055590217,202.92003499087423
138,1,760.0000999999997,880.781270833283,52,120.78117083328323,16,31,5,338.1859604893539,338.1859604893539,26.977453055590217,198.92003499087423
139,1,763.0000999999997,869.6651229012082,52,106.66502290120843,16,31,5,117.78117083328326,335.1859604893539,117.78117083328323,195.92003499087423
140,0,764.0000999999997,1279.3025565600942,53,515.3024565600945,17,31,5,105.66502290120849,334.1859604893539,105.66502290120843,194.92003499087423
141,1,765.0000999999997,981.3445637149727,53,216.3444637149729,17,31,5,514.3024565600944,514.3024565600945,104.66502290120843,193.92003499087423
142,1,766.0000999999997,1019.9371856424345,54,253.9370856424348,17,32,5,215.34446371497293,513.3024565600945,215.3444637149729,192.92003499087423
143,2,767.0000999999997,772.6833800238824,54,5.683280023882617,16,32,6,252.93708564243482,512.3024565600945,252.9370856424348,191.92003499087423
144,2,769.0000999999997,870.3042267777707,55,101.30412677777099,16,32,7,3.6832800238826167,510.30245656009447,250.9370856424348,3.6832800238826167
145,2,772.0000999999997,879.929024652751,54,107.92892465275122,16,30,8,98.30412677777096,507.30245656009447,247.9370856424348,98.30412677777099
146,2,783.0000999999997,890.7923622519529,51,107.79226225195316,16,28,7,96.92892465275122,496.30245656009447,236.9370856424348,96.92892465275122
147,1,785.0000999999997,1018.8351466828786,52,233.8350466828789,16,29,7,105.79226225195318,494.30245656009447,234.9370856424348,105.79226225195316
148,1,795.0000999999997,900.1765826484782,50,105.17648264847844,16,27,7,223.8350466828789,484.30245656009447,223.8350466828789,95.79226225195316
149,0,797.0000999999997,1155.858481729345,51,358.8583817293452,17,27,7,103.17648264847847,482.30245656009447,103.17648264847844,93.79226225195316
150,1,798.0000999999997,855.4761740794883,52,57.47607407948851,17,28,7,357.8583817293452,357.8583817293452,102.17648264847844,92.79226225195316
151,0,801.0000999999997,1405.3806571726043,53,604.3805571726045,18,28,7,54.476074079488484,354.8583817293452,54.47607407948851,89.79226225195316
152,1,805.0000999999997,950.3625627240174,54,145.36246272401763,18,29,7,600.3805571726045,600.3805571726045,50.47607407948851,85.79226225195316
153,1,808.0000999999997,817.9211036422478,55,9.921003642248024,18,30,7,142.36246272401766,597.3805571726045,142.36246272401763,82.79226225195316
154,1,811.0000999999997,844.3105420995059,55,33.31044209950619,18,30,7,6.92100364224801,594.3805571726045,6.921003642248024,79.79226225195316
155,2,813.0000999999997,908.1706025835955,56,95.17050258359575,18,30,8,31.310442099506147,592.3805571726045,31.31044209950619,77.79226225195316
156,1,816.0000999999997,1064.1538119504962,57,248.15371195049647,18,31,8,92.17050258359573,589.3805571726045,28.31044209950619,92.17050258359575
157,0,817.0000999999997,1441.8031453884441,58,624.8030453884444,19,31,8,247.1537119504965,588.3805571726045,247.15371195049647,91.17050258359575
158,1,819.0000999999997,1067.5005216316745,58,248.50042163167473,19,31,8,622.8030453884445,622.8030453884444,245.15371195049647,89.17050258359575
159,2,820.0000999999997,869.8275380060519,59,49.82743800605215,19,31,9,247.50042163167467,621.8030453884444,247.50042163167473,88.17050258359575
160,0,823.0000999999997,1367.6466048965167,60,544.646504896517,20,31,9,46.827438006052105,618.8030453884444,244.50042163167473,46.82743800605215
161,1,825.0000999999997,1133.2541654284753,60,308.25406542847554,20,31,9,542.6465048965168,542.646504896517,242.50042163167473,44.82743800605215
162,1,828.0000999999997,1021.839225855233,59,193.8391258552333,20,30,9,305.25406542847554,539.646504896517,305.25406542847554,41.82743800605215
163,1,830.0000999999997,853.190115758134,59,23.190015758134223,20,30,9,191.83912585523336,537.646504896517,191.8391258552333,39.82743800605215
164,1,834.0000999999997,1151.2733533976195,59,317.2732533976198,20,30,9,19.19001575813428,533.646504896517,19.190015758134223,35.82743800605215
165,1,835.0000999999997,896.7639750765649,60,61.763875076565114,20,31,9,316.2732533976198,532.646504896517,316.2732533976198,34.82743800605215
166,1,837.0000999999997,1011.4051930758424,61,174.40509307584261,20,32,9,59.76387507656514,530.646504896517,59.763875076565114,32.82743800605215
167,1,840.0000999999997,980.6824268779699,62,140.68232687797013,20,33,9,171.40509307584261,527.646504896517,171.40509307584261,29.827438006052148
168,1,842.0000999999997,896.0626766318948,63,54.06257663189501,20,34,9,138.6823268779701,525.646504896517,138.68232687797013,27.827438006052148
169,2,846.0000999999997,959.4356896031926,63,113.43558960319285,20,33,10,50.06257663189501,521.646504896517,50.06257663189501,23.827438006052148
170,1,847.0000999999997,924.088149945367,64,77.08804994536729,20,34,10,112.43558960319284,520.646504896517,49.06257663189501,112.43558960319285
171,1,852.0000999999997,935.1645958515159,65,83.16449585151611,20,35,10,72.08804994536732,515.646504896517,72.08804994536729,107.43558960319285
172,1,852.0001099999997,1099.5067689184693,66,247.5066589184696,20,36,10,83.16448585151616,515.646494896517,83.16448585151613,107.43557960319288
173,1,856.0001099999997,990.0399494751359,65,134.0398394751362,20,35,10,243.50665891846967,511.64649489651697,243.5066589184696,103.43557960319288
174,1,858.0001099999997,1100.8978316339262,66,242.8977216339265,20,36,10,132.03983947513615,509.64649489651697,132.0398394751362,101.43557960319288
175,1,866.0001099999997,972.7111560487162,67,106.71104604871653,20,37,10,234.89772163392638,501.64649489651697,234.8977216339265,93.43557960319288
176,0,874.0001099999997,1159.7496233863108,64,285.74951338631104,20,36,8,98.71104604871647,493.64649489651697,98.71104604871653,85.43557960319288
177,1,877.0001099999997,913.5037909296586,64,36.50368092965891,20,36,8,282.74951338631115,282.74951338631104,95.71104604871653,82.43557960319288
178,2,880.0001099999997,964.3155562744713,64,84.31544627447158,20,36,8,33.50368092965891,279.74951338631104,33.50368092965891,79.43557960319288
179,2,889.0001099999997,970.6271321498341,63,81.62702214983437,20,34,9,75.31544627447155,270.74951338631104,24.503680929658913,75.31544627447158
180,2,890.0001099999997,1013.7724403586565,64,123.77233035865675,20,34,10,80.62702214983437,269.74951338631104,23.503680929658913,80.62702214983437
181,1,894.0001099999997,1013.8861125778272,64,119.88600257782753,20,35,9,119.7723303586568,265.74951338631104,19.503680929658913,119.77233035865675
182,2,899.0001099999997,968.3638785544586,61,69.36376855445883,20,31,10,114.8860025778275,260.74951338631104,114.88600257782753,114.77233035865675
183,1,899.0001199999997,1004.1305146692647,62,105.130394669265,20,32,10,69.36375855445887,260.74950338631106,114.88599257782755,69.36375855445885
184,1,899.0001299999997,1073.2176411529472,63,174.2175111529475,20,33,10,105.13038466926503,260.7494933863111,105.13038466926503,69.36374855445888
185,1,903.0001299999997,1124.5966739971334,62,221.59654399713372,20,32,10,170.21751115294757,256.7494933863111,170.2175111529475,65.36374855445888
186,2,908.0001299999997,949.7494342235129,63,41.74930422351326,20,32,11,216.5965439971337,251.7494933863111,216.59654399713372,60.36374855445888
187,1,908.0001399999996,1092.1983736052912,64,184.19823360529153,20,33,11,41.749294223513274,251.7494833863111,216.59653399713375,41.74929422351329
188,1,913.0001399999996,1561.9212963326627,63,648.921156332663,20,33,10,179.19823360529156,246.7494833863111,179.19823360529153,36.74929422351329
189,1,917.0001399999996,1056.3177377132604,62,139.31759771326074,20,32,10,644.9211563326629,242.7494833863111,644.921156332663,32.74929422351329
190,1,921.0001399999996,987.0149919363283,63,66.01485193632868,20,33,10,135.31759771326074,238.7494833863111,135.31759771326074,28.74929422351329
191,2,921.0001499999996,990.4216370435306,64,69.42148704353099,20,33,11,66.01484193632874,238.74947338631114,66.01484193632871,28.749284223513314
192,2,925.0001499999996,960.8815516653657,64,35.88140166536607,20,32,12,65.42148704353104,234.74947338631114,62.01484193632871,65.42148704353099
193,1,927.0001499999996,1135.058718625658,65,208.05856862565838,20,33,12,33.881401665366084,232.74947338631114,60.01484193632871,33.88140166536607
194,2,932.0001499999996,975.8502869168669,65,43.850136916867314,20,32,13,203.05856862565844,227.74947338631114,203.05856862565838,28.88140166536607
