case,class,arrival,service,departure,server,arr_nis,arr_niq,sojourn,cum_arrival,arr_nservice,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2,last_remaining_los
56,1,0.5502229880010886,0.5502229880010886,0.673804319724675,10,37,0,0.12358133172358643,57,37,13,19,5,0.06783769640146275
57,1,0.5553132232939737,0.5553132232939737,1.229099234275504,11,38,0,0.6737860109815303,58,38,14,19,5,0.11849109643070133
58,1,0.5571517426394941,0.5571517426394941,0.9269621007138712,15,39,0,0.3698103580743771,59,39,15,19,5,0.67194749163601
59,1,0.5597714607388246,0.5597714607388246,1.4434713658385951,16,40,0,0.8836999050997706,60,40,16,19,5,0.36719063997504664
60,0,0.5788372601347845,0.5788372601347845,0.6166706990111334,19,37,0,0.037833438876348824,61,37,16,16,5,0.8646341057038106
61,1,0.615982159800447,0.615982159800447,0.7460232827515838,14,35,0,0.1300411229511368,62,35,16,15,4,0.0006885392106863453
62,0,0.6244651638962703,0.6244651638962703,0.9531160591326312,19,34,0,0.32865089523636093,63,34,17,13,4,0.12155811885531354
63,1,0.6477333341350482,0.6477333341350482,0.6866101603744045,21,34,0,0.03887682623935629,64,34,17,13,4,0.305382724997583
64,0,0.6486106795620259,0.6486106795620259,1.5501474724319428,24,35,0,0.901536792869917,65,35,18,13,4,0.03799948081237858
65,0,0.6529258375864224,0.6529258375864224,0.6872556858710456,25,36,0,0.034329848284623155,66,36,18,14,4,0.8972216348455204
66,0,0.6562136462522791,0.6562136462522791,1.107462489955377,9,36,0,0.45124884370309803,67,36,18,14,4,0.031042039618766504
67,0,0.6571279014178781,0.6571279014178781,0.8165183661372684,32,37,0,0.15939046471939022,68,37,18,15,4,0.45033458853749897
68,2,0.6743803787764294,0.6743803787764294,1.030017551789759,10,37,0,0.35563717301332953,69,37,17,16,4,0.14213798736083894
69,0,0.6750785426970138,0.6750785426970138,0.956059981178848,37,38,0,0.2809814384818342,70,38,17,16,5,0.3549390090927451
70,1,0.6837356401064625,0.6837356401064625,1.1887090037869914,38,39,0,0.5049733636805289,71,39,17,17,5,0.27232434107238557
71,1,0.6959701843745937,0.6959701843745937,0.8571313301711776,21,38,0,0.16116114579658392,72,38,17,16,5,0.4927388194123977
72,1,0.7023762538098188,0.7023762538098188,0.9068482352568948,25,39,0,0.204471981447076,73,39,18,16,5,0.15475507636135877
73,0,0.705583913656382,0.705583913656382,0.7993132850926231,40,40,0,0.09372937143624116,74,40,19,16,5,0.20126432160051289
74,1,0.7065732791239212,0.7065732791239212,0.7541574776956609,41,41,0,0.04758419857173968,75,41,19,17,5,0.09274000596870191
75,0,0.7103554346711621,0.7103554346711621,1.142494467935917,1,41,0,0.4321390332647549,76,41,20,16,5,0.04380204302449875
76,0,0.7116257845877765,0.7116257845877765,0.8800163876794165,42,42,0,0.16839060309164,77,42,20,17,5,0.43086868334814055
77,0,0.713768529549131,0.713768529549131,0.9889742616452806,43,43,0,0.2752057320961496,78,43,20,18,5,0.16624785813028553
78,0,0.7191412843127543,0.7191412843127543,0.7753563751896231,44,44,0,0.05621509087686882,79,44,20,19,5,0.2698329773325263
79,0,0.7346869910174859,0.7346869910174859,0.8471326344322637,8,43,0,0.11244564341477781,80,43,18,20,5,0.04066938417213717
80,0,0.7449452558776342,0.7449452558776342,0.893844226819738,13,43,0,0.1488989709421038,81,43,18,20,5,0.10218737855462956
81,1,0.7483941023336355,0.7483941023336355,0.7812144785847068,14,43,0,0.03282037625107137,82,43,17,21,5,0.1454501244861025
82,0,0.7493888995237598,0.7493888995237598,1.478027920513289,27,43,0,0.7286390209895292,83,43,17,21,5,0.03182557906094707
83,2,0.7639976598993055,0.7639976598993055,1.8060974120727904,17,42,0,1.042099752173485,84,42,15,22,5,0.7140302606139834
84,1,0.7757699511359514,0.7757699511359514,0.8590741231331656,39,42,0,0.08330417199721418,85,42,15,21,6,1.0303274609368391
85,1,0.7793608044309349,0.7793608044309349,0.9572060481044056,41,43,0,0.17784524367347065,86,43,16,21,6,0.07971331870223064
86,1,0.7798950972391611,0.7798950972391611,0.8613996065423657,44,44,0,0.08150450930320463,87,44,17,21,6,0.1773109508652445
