arrival_count,class,arrival,s_departure,s_arr_nis,s_sojourn,s_arr_nis_class_0,s_arr_nis_class_1,s_arr_nis_class_2,s_last_remaining_los,s_last_rem_class_0,s_last_rem_class_1,s_last_rem_class_2
58,1,414.0000299999999,464.94202454568665,24,50.941994545686725,0,19,5,328.8294764853685,0.0,328.82947648536856,174.79050114477923
59,1,417.0000299999999,717.8006140217374,25,300.80058402173745,0,20,5,47.94199454568674,0.0,47.941994545686725,171.79050114477923
60,1,424.0000299999999,796.1500764888611,26,372.1500464888612,0,21,5,293.8005840217375,0.0,293.80058402173745,164.79050114477923
61,1,450.0000299999999,570.5604081769759,24,120.56037817697597,0,20,4,346.1500464888612,0.0,346.1500464888612,138.79050114477923
62,1,461.0000299999999,717.0750271519739,25,256.074997151974,0,21,4,109.56037817697603,0.0,109.56037817697597,127.79050114477923
63,0,464.0000299999999,558.3449407640446,26,94.3449107640447,1,21,4,253.07499715197395,0.0,253.074997151974,124.79050114477923
64,1,478.0000299999999,549.7297240502205,24,71.72969405022059,1,20,3,80.34491076404467,80.3449107640447,239.074997151974,110.79050114477923
65,1,479.0000299999999,544.7102416318925,25,65.71021163189255,1,21,3,70.72969405022064,79.3449107640447,70.72969405022059,109.79050114477923
66,1,493.0000299999999,716.762085668436,25,223.76205566843612,1,21,3,51.71021163189252,65.3449107640447,51.71021163189255,95.79050114477923
67,0,498.0000299999999,558.9314736029477,25,60.93144360294775,2,20,3,218.7620556684361,60.3449107640447,218.76205566843612,90.79050114477923
68,2,501.0000299999999,543.3419768914819,26,42.34194689148194,2,20,4,57.93144360294777,57.93144360294775,215.76205566843612,87.79050114477923
69,0,504.0000299999999,558.9965630478379,26,54.99653304783794,3,20,3,39.341946891481975,54.93144360294775,212.76205566843612,39.34194689148194
70,2,505.0000299999999,914.2104266767938,27,409.21039667679383,3,20,4,53.99653304783789,53.99653304783794,211.76205566843612,38.34194689148194
71,0,510.0000299999999,628.4659978049648,27,118.46596780496486,4,19,4,404.2103966767938,48.99653304783794,206.76205566843612,404.21039667679383
72,1,516.0000299999999,522.6813221957984,27,6.681292195798505,4,19,4,112.46596780496485,112.46596780496486,200.76205566843612,398.21039667679383
73,2,529.0000299999999,729.7569504397269,26,200.75692043972697,4,17,5,0.0,99.46596780496486,0.0,385.21039667679383
74,2,533.0000299999999,879.1187060454074,27,346.1186760454075,4,17,6,196.75692043972694,95.46596780496486,0.0,196.75692043972697
75,2,535.0000299999999,716.4731254137828,28,181.47309541378286,4,17,7,344.11867604540754,93.46596780496486,0.0,344.1186760454075
76,1,543.0000299999999,698.2417320642719,29,155.24170206427198,4,18,7,173.47309541378291,85.46596780496486,0.0,173.47309541378286
77,2,549.0000299999999,593.5547280215441,28,44.55469802154414,4,17,7,149.24170206427192,79.46596780496486,149.24170206427198,167.47309541378286
78,1,553.0000299999999,673.6521228149679,28,120.652092814968,4,17,7,40.55469802154418,75.46596780496486,145.24170206427198,40.55469802154414
79,0,558.0000299999999,646.8104749451527,29,88.81044494515277,5,17,7,115.65209281496794,70.46596780496486,115.652092814968,35.55469802154414
80,2,558.0000399999999,592.5215544386015,30,34.52151443860157,5,17,8,88.81043494515275,88.81043494515279,115.65208281496803,35.554688021544166
81,1,575.0000399999999,719.8511895210236,26,144.85114952102367,2,16,8,17.521514438601628,71.81043494515279,98.65208281496803,17.52151443860157
82,2,576.0000399999999,607.1486514375454,27,31.14861143754547,2,16,9,143.8511495210237,70.81043494515279,143.85114952102367,16.52151443860157
83,1,581.0000399999999,630.7323586265344,28,49.73231862653449,2,17,9,26.148611437545426,65.81043494515279,138.85114952102367,26.14861143754547
84,1,589.0000399999999,905.7681166060336,28,316.7680766060337,2,18,8,41.73231862653451,57.81043494515279,41.73231862653449,18.14861143754547
85,1,594.0000399999999,724.588571128133,27,130.58853112813313,2,19,6,311.76807660603373,52.81043494515279,311.7680766060337,13.148611437545469
86,1,599.0000399999999,783.1151479126432,28,184.11510791264334,2,20,6,125.58853112813316,47.81043494515279,125.58853112813313,8.148611437545469
87,0,600.0000399999999,695.5382587821125,29,95.53821878211261,3,20,6,183.1151079126433,46.81043494515279,183.11510791264334,7.148611437545469
88,2,604.0000399999999,772.7876160361992,30,168.7875760361993,3,20,7,91.5382187821126,91.53821878211261,179.11510791264334,3.148611437545469
89,1,606.0000399999999,1215.6897212935708,31,609.6896812935709,3,21,7,166.78757603619934,89.53821878211261,177.11510791264334,166.7875760361993
90,2,608.0000399999999,818.4190176470098,31,210.4189776470099,3,21,7,607.6896812935709,87.53821878211261,607.6896812935709,164.7875760361993
91,1,612.0000399999999,741.5953597653252,31,129.59531976532526,3,21,7,206.41897764700994,83.53821878211261,603.6896812935709,206.4189776470099
92,1,618.0000399999999,631.2172652938553,32,13.21722529385545,3,22,7,123.5953197653252,77.53821878211261,123.59531976532526,200.4189776470099
93,1,621.0000399999999,685.9779420961098,33,64.97790209610991,3,23,7,10.217225293855487,74.53821878211261,10.21722529385545,197.4189776470099
94,1,621.0000499999999,678.1368584670302,34,57.13680846703028,3,24,7,64.9778920961099,74.53820878211263,64.97789209610994,197.41896764700994
95,1,622.0000499999999,643.7007837114052,34,21.70073371140529,3,24,7,56.13680846703033,73.53820878211263,56.13680846703028,196.41896764700994
96,1,626.0000499999999,909.0404729033087,35,283.0404229033088,3,25,7,17.700733711405302,69.53820878211263,17.70073371140529,192.41896764700994
97,1,628.0000499999999,824.6410617874977,36,196.64101178749786,3,26,7,281.04042290330875,67.53820878211263,281.0404229033088,190.41896764700994
98,1,633.0000499999999,990.9868497525517,33,357.98679975255186,2,24,7,191.6410117874979,62.53820878211263,191.64101178749786,185.41896764700994
99,2,635.0000499999999,664.6133561135786,34,29.613306113578687,2,24,8,355.9867997525519,60.53820878211263,355.98679975255186,183.41896764700994
100,0,638.0000499999999,1077.3669987011147,35,439.3669487011148,3,24,8,26.613306113578698,57.53820878211263,352.98679975255186,26.613306113578687
101,1,639.0000499999999,725.9617794819893,36,86.96172948198944,3,25,8,438.3669487011147,438.3669487011148,351.98679975255186,25.613306113578687
102,0,641.0000499999999,665.947215909939,37,24.947165909939145,4,25,8,84.9617294819894,436.3669487011148,84.96172948198944,23.613306113578687
103,1,646.0000499999999,724.2420125070038,37,78.2419625070039,4,25,8,19.947165909939137,19.947165909939145,79.96172948198944,18.613306113578687
104,1,647.0000499999999,832.6700011867127,37,185.66995118671286,3,26,8,77.2419625070039,18.947165909939145,77.2419625070039,17.613306113578687
105,1,650.0000499999999,798.1345218452725,38,148.13447184527263,3,27,8,182.66995118671286,15.947165909939145,182.66995118671286,14.613306113578687
106,2,652.0000499999999,656.1597216351278,39,4.159671635127893,3,27,9,146.1344718452726,13.947165909939145,146.13447184527263,12.613306113578687
107,2,653.0000499999999,947.4596059355633,40,294.45955593556346,3,27,10,3.159671635127885,12.947165909939145,145.13447184527263,3.159671635127893
108,2,657.0000499999999,879.0654442584853,40,222.0653942584854,3,27,10,290.45955593556346,8.947165909939145,141.13447184527263,290.45955593556346
109,2,658.0000499999999,1040.5731719180628,41,382.57312191806295,3,27,11,221.06539425848536,7.9471659099391445,140.13447184527263,221.0653942584854
110,2,665.0000499999999,691.0803608225516,41,26.080310822551724,3,27,11,375.573121918063,0.9471659099391445,133.13447184527263,375.57312191806295
111,2,665.0000599999998,698.3129786755221,42,33.31291867552227,3,27,12,26.080300822551774,0.9471559099391698,133.13446184527265,26.08030082255175
112,2,672.0000599999998,991.6901923885987,42,319.69013238859884,2,27,13,26.312918675522326,0.0,126.13446184527265,26.31291867552227
113,1,674.0000599999998,772.4094168012558,42,98.40935680125597,2,27,13,317.69013238859884,0.0,124.13446184527265,317.69013238859884
114,0,677.0000599999998,865.0682488373758,43,188.06818883737594,3,27,13,95.409356801256,0.0,95.40935680125597,314.69013238859884
115,1,679.0000599999998,701.9580233786613,43,22.957963378661475,3,27,13,186.06818883737594,186.06818883737594,93.40935680125597,312.69013238859884
116,1,683.0000599999998,756.3206928946253,44,73.32063289462542,3,28,13,18.957963378661464,182.06818883737594,18.957963378661475,308.69013238859884
117,1,691.0000599999998,921.9921077547624,44,230.99204775476255,3,28,13,65.32063289462545,174.06818883737594,65.32063289462542,300.69013238859884
118,2,691.0000699999998,936.110966953968,45,245.11089695396822,3,28,14,230.99203775476252,174.06817883737597,230.99203775476258,300.69012238859887
119,2,697.0000699999998,913.6098706413757,44,216.60980064137584,2,28,14,239.11089695396822,168.06817883737597,224.99203775476258,239.11089695396822
120,1,698.0000699999998,771.6978268670078,45,73.69775686700802,2,29,14,215.60980064137584,167.06817883737597,223.99203775476258,215.60980064137584
121,0,698.0000799999998,790.5329579781264,46,92.53287797812663,3,29,14,73.69774686700808,167.068168837376,73.69774686700805,215.60979064137587
122,1,702.0000799999998,977.4414136204505,43,275.4413336204507,3,27,13,88.53287797812665,88.53287797812663,69.69774686700805,211.60979064137587
123,1,705.0000799999998,828.7838171105551,44,123.78373711055531,3,28,13,272.4413336204507,85.53287797812663,272.4413336204507,208.60979064137587
124,1,710.0000799999998,906.1139782767502,45,196.11389827675043,3,29,13,118.7837371105553,80.53287797812663,118.78373711055531,203.60979064137587
125,2,710.0000899999998,795.4222675529996,46,85.42217755299987,3,29,14,196.11388827675052,80.53286797812666,196.11388827675046,203.6097806413759
126,0,718.0000899999998,784.6256409003635,43,66.62555090036369,4,26,13,77.42217755299983,72.53286797812666,188.11388827675046,77.42217755299987
127,1,719.0000899999998,923.1507258483878,44,204.150635848388,4,27,13,65.62555090036369,65.62555090036369,187.11388827675046,76.42217755299987
128,1,724.0000899999998,848.4512905488149,44,124.45120054881511,4,27,13,199.15063584838805,60.62555090036369,199.150635848388,71.42217755299987
129,0,725.0000899999998,1122.423979351329,43,397.4238893513293,5,25,13,123.45120054881507,59.62555090036369,123.45120054881511,70.42217755299987
130,1,735.0000899999998,792.2924035929076,42,57.29231359290782,5,25,12,387.42388935132925,387.4238893513293,113.45120054881511,60.42217755299987
131,2,740.0000899999998,1000.1053525260982,43,260.1052625260984,5,25,13,52.29231359290782,382.4238893513293,52.29231359290782,55.42217755299987
132,1,740.0000999999997,1242.0749185211048,44,502.07481852110504,5,26,13,260.10525252609847,382.42387935132933,52.29230359290784,260.1052525260984
133,2,745.0000999999997,1265.7905327280496,43,520.7904327280498,5,24,14,497.07481852110516,377.42387935132933,497.07481852110504,255.1052525260984
134,1,748.0000999999997,892.5042414105573,44,144.5041414105575,5,25,14,517.7904327280497,374.42387935132933,494.07481852110504,517.7904327280498
135,2,749.0000999999997,1121.928043311172,45,372.92794331117216,5,25,15,143.50414141055754,373.42387935132933,143.5041414105575,516.7904327280498
136,0,754.0000999999997,896.9360805218828,46,142.93598052188304,6,25,15,367.9279433111721,368.42387935132933,138.5041414105575,367.92794331117216
137,0,756.0000999999997,763.641198553063,47,7.641098553063216,7,25,15,140.93598052188298,140.93598052188304,136.5041414105575,365.92794331117216
138,1,760.0000999999997,1227.9584250895045,45,467.9583250895048,7,23,15,3.6410985530631725,3.641098553063216,132.5041414105575,361.92794331117216
139,1,763.0000999999997,825.2303723045469,46,62.23027230454716,7,24,15,464.9583250895049,0.6410985530632161,464.9583250895048,358.92794331117216
140,0,764.0000999999997,868.0130883122744,46,104.01298831227462,7,24,15,61.23027230454716,0.0,61.23027230454716,357.92794331117216
141,1,765.0000999999997,770.5529510138899,47,5.5528510138901765,7,25,15,103.01298831227463,103.01298831227462,60.23027230454716,356.92794331117216
142,1,766.0000999999997,1024.1929686315593,48,258.1928686315596,7,26,15,4.552851013890161,102.01298831227462,4.5528510138901765,355.92794331117216
143,2,767.0000999999997,1337.6378790023618,49,570.6377790023621,7,26,16,257.1928686315597,101.01298831227462,257.1928686315596,354.92794331117216
144,2,769.0000999999997,934.2890195634795,50,165.2889195634798,7,26,17,568.6377790023622,99.01298831227462,255.19286863155958,568.6377790023621
145,2,772.0000999999997,1306.6789638537884,49,534.6788638537887,7,24,18,162.28891956347982,96.01298831227462,252.19286863155958,162.2889195634798
146,2,783.0000999999997,1078.4009084935851,47,295.4008084935854,7,23,17,523.6788638537887,85.01298831227462,241.19286863155958,523.6788638537887
147,1,785.0000999999997,913.7571477095078,46,128.75704770950802,6,23,17,293.4008084935853,83.01298831227462,239.19286863155958,293.4008084935854
148,1,795.0000999999997,946.0553305305892,45,151.05523053058948,5,23,17,118.75704770950796,73.01298831227462,118.75704770950802,283.4008084935854
149,0,797.0000999999997,849.1129378509177,43,52.11283785091791,6,21,16,149.05523053058945,71.01298831227462,149.05523053058948,281.4008084935854
150,1,798.0000999999997,837.5479560900981,44,39.54785609009832,6,22,16,51.112837850917906,51.11283785091791,148.05523053058948,280.4008084935854
151,0,801.0000999999997,822.278043063663,44,21.2779430636632,7,21,16,36.547856090098314,48.11283785091791,36.54785609009832,277.4008084935854
152,1,805.0000999999997,897.5717631351679,45,92.57166313516814,7,22,16,17.2779430636632,17.2779430636632,32.54785609009832,273.4008084935854
153,1,808.0000999999997,835.4886894424651,46,27.488589442465354,7,23,16,89.57166313516811,14.277943063663201,89.57166313516814,270.4008084935854
