,arrival,departure,sojourn,nis_arrival,arrival_count,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2
103,650.0000499999999,1544.1285071613006,894.1284571613007,53,103,31,13,9
104,652.0000499999999,1017.2068570544284,365.2068070544285,54,104,32,13,9
105,653.0000499999999,768.4363479505058,115.43629795050595,55,105,33,13,9
106,657.0000499999999,808.5946909663398,151.59464096633997,56,106,33,13,10
107,658.0000499999999,798.3556843780752,140.35563437807537,57,107,33,13,11
108,665.0000499999999,808.5268761706915,143.5268261706916,56,108,33,12,11
109,665.0000599999998,1051.3571055406067,386.3570455406068,57,109,33,12,12
110,672.0000599999998,809.4284270850198,137.42836708502,57,110,32,12,13
111,674.0000599999998,760.3002384416933,86.30017844169345,58,111,32,12,14
112,677.0000599999998,793.9474747959246,116.94741479592471,58,112,31,12,15
113,679.0000599999998,1160.4685478744814,481.4684878744815,59,113,32,12,15
114,683.0000599999998,949.5762790267524,266.5762190267526,60,114,32,13,15
115,691.0000599999998,909.160922299951,218.1608622999512,59,115,32,13,14
116,691.0000699999998,889.0641808815338,198.06411088153402,60,116,33,13,14
117,697.0000699999998,932.4037703406059,235.40370034060606,60,117,34,12,14
118,698.0000699999998,1780.5484132628098,1082.54834326281,61,118,34,12,15
119,698.0000799999998,1234.5815660887874,536.5814860887876,62,119,34,12,16
120,702.0000799999998,1470.4105121765651,768.4104321765653,63,120,35,12,16
121,705.0000799999998,1406.1413911456189,701.141311145619,64,121,35,13,16
122,710.0000799999998,1774.8052771317753,1064.8051971317755,62,122,34,13,15
123,710.0000899999998,752.8016207815948,42.801530781595034,63,123,35,13,15
124,718.0000899999998,1118.1866414006615,400.18655140066176,63,124,35,13,15
125,719.0000899999998,1204.053482996437,485.0533929964372,63,125,34,13,16
126,724.0000899999998,814.3913386902508,90.39124869025102,64,126,34,14,16
127,725.0000899999998,766.7690639627259,41.768973962726136,65,127,35,14,16
128,735.0000899999998,1442.9871653794949,707.9870753794951,66,128,36,14,16
